rent;s;floor;rooms;district;walls;furniture
27500;35;5;1;3;1;1
29800;31;2;1;2;0;1
32000;30;4;1;3;1;1
50000;55;1;2;3;1;1
23000;19;3;1;2;1;1
32000;45;7;1;2;0;1
38800;65;4;2;3;1;1
25200;20;2;1;2;0;1
47800;50;4;1;1;1;1
21900;15;1;1;2;0;1
32000;64;9;2;2;0;1
25200;36.5;9;1;3;1;1
18500;12;3;1;3;1;1
32000;34;3;1;1;1;1
34200;60;4;2;2;0;1
36500;40;12;1;1;0;1
29800;33;4;1;1;1;1
23000;18;3;1;2;1;1
34200;43;5;2;1;0;1
20800;15;1;1;3;0;0
36500;60;6;2;3;0;1
32000;40;1;1;2;1;1
20800;30;1;2;3;1;1
32000;43;7;1;3;0;1
34200;44;8;1;3;1;1
41000;50;5;2;3;0;1
27500;21;2;1;3;1;1
25200;30;8;1;1;1;1
41000;43;7;1;1;1;1
43200;42;2;3;1;1;1
34200;40;7;2;3;0;1
41000;30;1;1;1;1;1
20800;12;3;1;2;1;1
23000;17;1;1;2;0;1
18500;14;3;1;3;1;1
25200;19;3;1;2;1;1
50000;69;2;2;3;1;1
50000;64;3;3;2;0;1
38800;60;5;3;2;1;1
50000;70;10;3;3;0;1
32000;34;6;1;3;1;1
34200;38;2;2;3;0;1
29800;33;1;1;3;0;1
23000;16;2;1;2;1;0
29800;39;3;1;2;0;1
24100;30;5;1;1;1;0
38800;54;1;2;1;0;1
27500;36;4;1;1;1;1
34200;40;4;2;1;0;1
29800;57.1;1;3;2;0;1
32000;31;1;1;1;1;1
20800;36;1;1;2;0;0
29800;30;8;1;2;1;1
34200;48;5;2;2;1;1
36500;44;4;2;1;0;1
21900;19;3;1;2;0;1
38800;48;8;1;3;1;1
36500;35;5;1;3;1;1
45500;50;3;2;1;1;1
32000;40;2;2;3;0;1
34200;43;5;2;3;1;1
29800;36;7;1;3;0;1
21900;11;1;1;3;0;1
50000;66;6;3;3;0;1
26400;16;4;1;1;1;1
19600;26;2;1;2;0;1
36500;44;3;2;2;1;1
47800;70;9;3;1;1;1
38800;44;5;1;1;0;1
21900;20;3;1;2;1;0
24100;28;7;1;2;1;1
32000;29;4;1;3;1;1
25200;24;1;1;3;1;1
27500;30;8;1;2;1;1
23000;16;1;1;2;1;1
27500;18.5;1;1;2;1;1
24100;18;3;1;3;1;1
27500;30;3;1;2;0;1
34200;40;2;1;3;1;1
27500;19;3;1;3;1;1
23000;16;5;1;1;1;1
34200;44;7;2;3;0;1
18500;20;2;1;1;1;0
27500;35;4;1;3;1;1
50000;50;4;2;1;1;1
29800;30;3;1;2;0;1
18500;12;1;1;1;0;0
32000;44;3;2;2;0;1
36500;38;8;1;3;1;1
34200;33;2;1;3;0;1
32000;44;6;1;2;1;1
32000;50;3;1;2;1;1
36500;24;1;1;1;1;1
50000;65;8;2;3;1;1
27500;24;5;1;1;0;1
38800;50;3;2;3;1;1
20800;19;1;1;3;1;1
27500;30;2;1;3;1;1
27500;30;2;1;2;0;1
32000;44;3;1;3;0;1
34200;44;4;1;2;0;1
34200;39;12;1;1;1;1
34200;40;12;1;1;0;1
32000;54;3;3;3;1;1
36500;33;4;1;1;1;1
41000;60;8;2;3;1;1
21900;14;1;1;1;1;0
44400;45;3;1;3;1;1
32000;40;5;1;2;0;1
29800;32;5;1;1;1;0
41000;54;12;2;1;1;1
19600;21;2;1;2;1;0
23000;19;5;1;2;0;0
29800;22;7;1;1;1;0
23000;19;2;1;2;0;0
25200;19;4;1;3;1;0
29800;36;2;1;3;0;0
28600;31;3;1;1;1;0
20800;13;3;1;2;1;0
41000;65;7;2;1;1;1
29800;36;6;1;2;0;0
45500;45;5;1;1;1;1
45500;70;9;3;3;0;1
27500;20;3;1;1;1;0
23000;17;3;1;2;1;0
50000;54;7;2;1;1;1
47800;54;1;2;1;1;1
34200;54;3;2;2;0;1
20800;12;4;1;3;1;0
34200;68;4;2;2;0;1
